City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
37,vilhena,-12.7406,-60.1458,20.24,97,92,1.25,BR,1674448450
38,ananas,19.2466,-71.9557,17.76,83,33,1.25,HT,1674448450
39,butaritari,3.0707,172.7902,27.33,75,98,5.03,KI,1674448450
40,saskylakh,71.9167,114.0833,-30.04,87,100,1.27,RU,1674448451
41,kavieng,-2.5744,150.7967,29.02,71,100,5.81,PG,1674448451
42,new norfolk,-42.7826,147.0587,23.84,48,18,2.24,AU,1674448452
43,busselton,-33.65,115.3333,32.38,33,0,5.24,AU,1674448453
44,yellowknife,62.456,-114.3525,-15.71,85,100,3.09,CA,1674448453
45,pandan,14.0453,124.1694,25.48,89,100,6.09,PH,1674448454
46,broken hill,-31.95,141.4333,31.44,18,10,3.04,AU,1674448454
47,ponta do sol,32.6667,-17.1,17.62,62,50,3.73,PT,1674448455
48,sao joao da barra,-21.6403,-41.0511,22.95,93,100,2.54,BR,1674448456
49,asmara,15.3333,38.9333,11.84,70,7,0.75,ER,1674448456
50,vestmannaeyjar,63.4427,-20.2734,1.21,58,100,6.62,IS,1674448457
51,castro,-24.7911,-50.0119,16.99,92,87,0.31,BR,1674448373
52,tiksi,71.6872,128.8694,-32.05,96,100,2.16,RU,1674448457
53,bukachacha,52.9833,116.9167,-24.37,65,83,2.47,RU,1674448458
54,barrow,71.2906,-156.7887,-19.99,77,100,6.69,US,1674448458
55,constitucion,-35.3333,-72.4167,15.05,77,0,4.24,CL,1674448459
56,josanicka banja,43.3895,20.7503,2.61,95,100,2.11,RS,1674448460
57,rawson,-43.3002,-65.1023,15.87,69,13,4.24,AR,1674448274
58,chuncheng,22.1731,111.7886,23.92,59,93,2.0,CN,1674448460
59,akyab,20.15,92.9,26.35,29,29,3.07,MM,1674448461
60,avarua,-21.2078,-159.775,26.03,83,40,2.57,CK,1674448461
61,atuona,-9.8,-139.0333,26.14,79,74,8.21,PF,1674448462
62,bonavista,48.6499,-53.1147,-4.09,79,19,6.64,CA,1674448463
63,hermanus,-34.4187,19.2345,20.45,85,0,2.34,ZA,1674448463
64,husavik,66.0449,-17.3389,-7.23,71,12,5.4,IS,1674448464
65,rogovskaya,45.7312,38.7396,0.48,83,8,5.17,RU,1674448464
66,shimoda,34.6667,138.95,8.2,67,98,3.32,JP,1674448464
67,cabo san lucas,22.8909,-109.9124,19.17,80,29,0.45,MX,1674448465
68,alofi,-19.0595,-169.9187,29.94,62,36,4.12,NU,1674448465
69,kruisfontein,-34.0033,24.7314,19.94,81,5,2.59,ZA,1674448466
70,thompson,55.7435,-97.8558,-13.91,85,100,6.69,CA,1674448240
71,cherskiy,68.75,161.3,-35.74,96,100,0.38,RU,1674448395
72,champerico,14.3,-91.9167,24.68,79,3,3.72,GT,1674448467
73,yar-sale,66.8333,70.8333,-11.47,97,98,2.01,RU,1674448468
74,paamiut,61.994,-49.6678,-7.37,72,99,7.58,GL,1674448468
75,campbell river,50.0163,-125.2446,4.69,100,100,0.0,CA,1674448239
76,conroe,30.3119,-95.456,8.62,78,0,1.99,US,1674448274
77,punta arenas,-53.15,-70.9167,12.06,66,0,4.12,CL,1674448470
78,itaiba,-8.9475,-37.4228,22.93,75,28,2.21,BR,1674448470
79,zhanakorgan,43.9098,67.2495,-5.33,53,0,0.34,KZ,1674448470
80,saint-augustin,51.226,-58.6502,-7.85,92,100,2.73,CA,1674448194
81,the valley,18.217,-63.0578,25.61,74,10,9.34,AI,1674448472
82,torbay,47.6666,-52.7314,-3.74,93,20,8.75,CA,1674448472
83,nagothana,18.5333,73.1333,25.53,39,7,2.08,IN,1674448472
84,amapa,1.0,-52.0,20.74,100,100,0.87,BR,1674448473
85,parakou,9.3372,2.6303,23.47,23,74,1.49,BJ,1674448474
86,mozarlandia,-14.7447,-50.5706,21.78,96,100,1.98,BR,1674448474
87,sisimiut,66.9395,-53.6735,-11.08,94,100,2.85,GL,1674448475
88,jamestown,42.097,-79.2353,0.01,75,100,3.09,US,1674448179
89,mar del plata,-38.0023,-57.5575,18.86,86,0,3.58,AR,1674448475
90,piacabucu,-10.4056,-36.4344,25.43,87,35,4.45,BR,1674448476
91,longyearbyen,78.2186,15.6401,3.91,75,75,6.69,SJ,1674448476
92,seydi,39.4816,62.9137,-3.07,71,22,2.44,TM,1674448459
93,nanortalik,60.1432,-45.2371,-5.45,64,100,3.18,GL,1674448477
94,gravdal,68.1214,13.5031,5.94,56,75,8.75,NO,1674448478
95,luderitz,-26.6481,15.1594,17.72,85,36,6.61,NA,1674448478
96,ribeira grande,38.5167,-28.7,16.54,90,29,9.39,PT,1674448479
